match_id,event_id,team_1,team_2,best_of,_map,1_t1
2339402,4901,G2,Natus Vincere,5.0,Nuke,4350.0
2339402,4901,G2,Natus Vincere,5.0,Dust2,3900.0
2339402,4901,G2,Natus Vincere,5.0,Mirage,4150.0
2339401,4901,Natus Vincere,Astralis,3.0,Dust2,4150.0
2339401,4901,Natus Vincere,Astralis,3.0,Nuke,4200.0
2339400,4901,fnatic,G2,3.0,Inferno,4550.0
2339400,4901,fnatic,G2,3.0,Dust2,4450.0
2339400,4901,fnatic,G2,3.0,Train,4550.0
2339873,5234,Wings,Global,3.0,Dust2,4250.0
2339873,5234,Wings,Global,3.0,Train,4250.0
2339873,5234,Wings,Global,3.0,Inferno,4250.0
2339872,5234,Global,Umumba,1.0,Inferno,4200.0
2339867,5234,Wings,Global,1.0,Train,4250.0
2339871,5216,Paradox,Skyfire,3.0,Default,4000.0
2339868,5216,Lucid,Skyfire,3.0,Inferno,4150.0
2339868,5216,Lucid,Skyfire,3.0,Vertigo,4300.0
2339748,5152,Incept,Rooster,1.0,Overpass,4000.0
2339866,5234,LevelZero,Umumba,1.0,Nuke,4350.0
2339865,5216,Paradox,Lucid,3.0,Mirage,4300.0
2339865,5216,Paradox,Lucid,3.0,Train,4150.0
2339865,5216,Paradox,Lucid,3.0,Inferno,4250.0
2339830,5234,Global,Umumba,1.0,Inferno,4100.0
2339829,5234,Wings,LevelZero,1.0,Overpass,4200.0
2339856,5233,9z,Rysix,3.0,Inferno,4450.0
2339856,5233,9z,Rysix,3.0,Overpass,4150.0
2339856,5233,9z,Rysix,3.0,Dust2,4100.0
2339855,5233,Sinisters,Duck Nutz,3.0,Dust2,4250.0
2339855,5233,Sinisters,Duck Nutz,3.0,Nuke,4350.0
2339855,5233,Sinisters,Duck Nutz,3.0,Mirage,4250.0
2339854,5232,HAVU,SJ,3.0,Train,4000.0
2339854,5232,HAVU,SJ,3.0,Dust2,4150.0
2339854,5232,HAVU,SJ,3.0,Nuke,4350.0
2339837,5235,forZe,Spirit,3.0,Mirage,4200.0
2339837,5235,forZe,Spirit,3.0,Inferno,4200.0
2339837,5235,forZe,Spirit,3.0,Nuke,4350.0
2339853,5232,hREDS,KOVA,3.0,Train,4400.0
2339853,5232,hREDS,KOVA,3.0,Nuke,4250.0
2339853,5232,hREDS,KOVA,3.0,Dust2,4300.0
2339859,5215,madlikewizards,Eimi Fukada FC,3.0,Default,4300.0
2339858,5215,Eimi Fukada FC,MC,3.0,Dust2,4100.0
2339858,5215,Eimi Fukada FC,MC,3.0,Nuke,4200.0
2339857,5215,Eimi Fukada FC,madlikewizards,3.0,Overpass,3600.0
2339857,5215,Eimi Fukada FC,madlikewizards,3.0,Inferno,3900.0
2339852,5233,9z,Nocturns,3.0,Dust2,4200.0
2339852,5233,9z,Nocturns,3.0,Mirage,4250.0
2339851,5233,FREEROX,Sinisters,3.0,Mirage,4300.0
2339851,5233,FREEROX,Sinisters,3.0,Nuke,4450.0
2339399,4901,Natus Vincere,Liquid,3.0,Dust2,3550.0
2339399,4901,Natus Vincere,Liquid,3.0,Mirage,4200.0
2339784,5232,SJ,KOVA,3.0,Vertigo,4100.0
2339784,5232,SJ,KOVA,3.0,Train,4200.0
2339850,5150,Demolition Crew,Sprout,1.0,Nuke,4250.0
2339398,4901,fnatic,100 Thieves,3.0,Inferno,4400.0
2339398,4901,fnatic,100 Thieves,3.0,Mirage,4100.0
2339849,5150,Singularity,Sprout,1.0,Dust2,4250.0
2339783,5232,HAVU,hREDS,3.0,Overpass,4450.0
2339783,5232,HAVU,hREDS,3.0,Train,4150.0
2339818,5151,Swole Identity,Under 21,1.0,Nuke,4350.0
2339822,5151,Chaos,Divine,1.0,Overpass,4050.0
2339844,5151,Asuna's Anime Aimers,Oceanus,1.0,Nuke,4100.0
